spend_id,campaign_id,campaign_name,channel,start_date,end_date,budget,amount_spent,impressions,clicks,conversions,revenue_attributed
MS-001,CAMP-001,Q1 Brand Awareness,paid_social,2023-01-01,2023-01-31,5000.00,4850.00,320000,12400,248,18750.00
MS-002,CAMP-002,January Email Blast,email,2023-01-15,2023-01-15,200.00,185.00,18500,4625,139,6420.00
MS-003,CAMP-003,Google Search - Electronics,paid_search,2023-01-01,2023-01-31,3500.00,3480.00,185000,9250,277,24350.00
MS-004,CAMP-004,Q1 Brand Awareness,paid_social,2023-02-01,2023-02-28,5000.00,4920.00,345000,13800,276,21600.00
MS-005,CAMP-005,February Email Newsletter,email,2023-02-10,2023-02-10,200.00,190.00,19000,4750,152,7200.00
MS-006,CAMP-006,Google Search - Electronics,paid_search,2023-02-01,2023-02-28,3500.00,3350.00,192000,9600,288,26400.00
MS-007,CAMP-007,Valentine Day Promo,paid_social,2023-02-07,2023-02-14,1500.00,1480.00,125000,6250,188,14100.00
MS-008,CAMP-008,Q1 Brand Awareness,paid_social,2023-03-01,2023-03-31,5000.00,4975.00,380000,15200,304,24320.00
MS-009,CAMP-009,March Email Campaign,email,2023-03-05,2023-03-05,200.00,195.00,19500,4875,161,7525.00
MS-010,CAMP-010,Google Search - Sports,paid_search,2023-03-01,2023-03-31,2500.00,2440.00,155000,7750,233,17475.00
MS-011,CAMP-011,Spring Sale Launch,paid_search,2023-03-15,2023-03-31,2000.00,1985.00,98000,4900,196,16660.00
MS-012,CAMP-012,Influencer - Fitness,referral,2023-03-01,2023-03-31,3000.00,3000.00,540000,27000,405,32400.00
